id,name,enabled,applicable_if,expression
F001,Eliminate the combo if its digit sum equals 1.,True,True,combo_sum == 1
F002,"If the seed contains 4, 5, 6, and 8 in any order, eliminate all even sum combos.",True,"set(seed_digits).issuperset({4,5,6,8})",combo_sum % 2 == 0
F003,"If the seed contains 1, 2, 4, and 7 in any order, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1,2,4,7})",combo_sum % 2 == 0
F004,"If the seed contains 1, 2, 6, and 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1,2,6,8})",combo_sum % 2 != 0
F005,"If the seed contains 5, 7, 8, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({5,7,8,9})",combo_sum % 2 != 0
F006,"If the seed contains 4, 6, 7, and 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({4,6,7,8})",combo_sum % 2 != 0
F007,"If the seed contains 4, 5, 6, and 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({4,5,6,7})",combo_sum % 2 != 0
F008,"If the seed contains 3, 6, 7, and 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({3,6,7,8})",combo_sum % 2 != 0
F009,"If the seed contains 2, 5, 8, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({2,5,8,9})",combo_sum % 2 != 0
F010,"If the seed contains 3, 4, 5, and 8, eliminate all even sum combos.",True,"set(seed_digits).issuperset({3,4,5,8})",combo_sum % 2 == 0
F011,"If the seed contains 2, 3, 6, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({2,3,6,9})",combo_sum % 2 != 0
F012,"If the seed contains 1, 3, 4, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1,3,4,9})",combo_sum % 2 != 0
F013,"If the seed contains 0, 5, 7, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0,5,7,9})",combo_sum % 2 != 0
F014,"If the seed contains 0, 3, 4, and 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({0,3,4,7})",combo_sum % 2 != 0
F015,"If the seed contains 3, 5, 7, and 8, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({3,5,7,8})",combo_sum % 2 != 0
F016,"If the seed contains 2, 4, 5, and 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({2,4,5,7})",combo_sum % 2 != 0
F017,"If the seed contains 1, 2, 6, and 7, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1,2,6,7})",combo_sum % 2 != 0
F018,"If the seed contains 1, 2, 4, and 6, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1,2,4,6})",combo_sum % 2 != 0
F019,"If the seed contains 1, 4, 5, and 9, eliminate all odd sum combos.",True,"set(seed_digits).issuperset({1,4,5,9})",combo_sum % 2 != 0
F020,"If the seed contains 0, 5, 6, and 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0,5,6,7})",combo_sum % 2 == 0
F021,"If the seed contains 1, 5, 6, and 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1,5,6,9})",combo_sum % 2 == 0
F022,"If the seed contains 0, 1, 5, and 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0,1,5,9})",combo_sum % 2 == 0
F023,"If the seed contains 0, 3, 6, and 9, eliminate all even sum combos.",True,"set(seed_digits).issuperset({0, 9, 3, 6})",combo_sum % 2 == 0
F024,"If the seed contains 1, 2, 5, and 7, eliminate all even sum combos.",True,"set(seed_digits).issuperset({1, 2, 5, 7})",combo_sum % 2 == 0
